product_name,original_price,final_price,discount_percent,urgency_flag,fake_discount_flag,rating,platform,discount_intensity,price_manipulation_score,trust_score,urgency_weight,fake_discount_weight,dark_pattern_score,manipulation_level,year,,,,platform
Oppo Ultra Smartphone,41610,33288,20,1,0,2.8,Flipkart,0.2,10.4025,2.2399999999999998,0.3,0,38,Low,2018,,,,
Samsung Plus Smartphone,48661,24330,50,0,1,4.1,Paytm Mall,0.5,30.413125,2.05,0,0.5,70,Moderate,2019,,,,
Vivo Lite Laptop,66721,60048,10,0,0,3,Ajio,0.1,8.340125,2.7,0,0,4.000000000000001,Low,2019,,,,
Realme Pro Headphones,79201,39600,50,1,1,3.1,Myntra,0.5,49.500625,1.55,0.3,0.5,100,High Manipulation,2016,,,,
Redmi Lite Laptop,10654,4261,60,1,1,3.9,Paytm Mall,0.6,7.9905,1.56,0.3,0.5,104,High Manipulation,2022,,,,
Realme Plus Smartphone,67891,47523,30,0,0,4.1,Snapdeal,0.3,25.459125,2.8699999999999997,0,0,12,Low,2020,,,,
Realme Plus Smartwatch,64170,57753,10,0,0,4.6,Meesho,0.1,8.02125,4.14,0,0,4.000000000000001,Low,2015,,,,
OnePlus Max Smartphone,34900,17450,50,1,1,3.1,JioMart,0.5,21.8125,1.55,0.3,0.5,100,High Manipulation,2017,,,,
Oppo Plus Smartphone,26006,23405,10,0,0,3,JioMart,0.1,3.25075,2.7,0,0,4.000000000000001,Low,2017,,,,
Redmi Ultra Smartwatch,11561,5780,50,1,1,4.7,Meesho,0.5,7.225625,2.35,0.3,0.5,100,High Manipulation,2017,,,,
Realme Prime Headphones,58028,40619,30,0,0,3.5,Nykaa,0.3,21.7605,2.4499999999999997,0,0,12,Low,2021,,,,
Realme Max Smartwatch,70931,49651,30,0,0,4.5,Meesho,0.3,26.599125,3.15,0,0,12,Low,2019,,,,
Apple Prime Headphones,30521,21364,30,0,0,3,Paytm Mall,0.3,11.445375,2.0999999999999996,0,0,12,Low,2017,,,,
Realme Prime Headphones,34297,20578,40,0,0,3.4,Meesho,0.4,17.1485,2.04,0,0,16.000000000000004,Low,2024,,,,
Realme Pro Smartphone,56152,50536,10,0,0,4.8,Ajio,0.1,7.019,4.32,0,0,4.000000000000001,Low,2018,,,,
Vivo Plus Headphones,49729,44756,10,0,0,3.3,Snapdeal,0.1,6.216125,2.9699999999999998,0,0,4.000000000000001,Low,2020,,,,
Vivo Pro Smartphone,20734,12440,40,1,0,2.7,Meesho,0.4,10.367,1.62,0.3,0,46,Moderate,2019,,,,
Vivo Max Smartphone,13198,9238,30,0,0,2.8,Flipkart,0.3,4.94925,1.9599999999999997,0,0,12,Low,2025,,,,
Apple Max Smartphone,58851,41195,30,1,0,4.4,Myntra,0.3,22.069125,3.08,0.3,0,42,Moderate,2024,,,,
